id_proveedor,nombre,contacto,telefono,email,direccion
1,TecnoParts,José Castillo,904000001,contacto1@empresa.com,"Av. Principal 1, Lima"
2,Calzados Lima,José Castillo,904000002,contacto2@empresa.com,"Av. Principal 2, Lima"
3,Moda Latina,José Castillo,904000003,contacto3@empresa.com,"Av. Principal 3, Lima"
4,Calzados Lima,José Castillo,904000004,contacto4@empresa.com,"Av. Principal 4, Lima"
5,Alimentos Selectos,Ana Fernández,904000005,contacto5@empresa.com,"Av. Principal 5, Lima"
6,Deportes Perú,Lucía Vargas,904000006,contacto6@empresa.com,"Av. Principal 6, Lima"
7,TecnoParts,Luis Rojas,904000007,contacto7@empresa.com,"Av. Principal 7, Lima"
8,Alimentos Selectos,José Castillo,904000008,contacto8@empresa.com,"Av. Principal 8, Lima"
9,Muebles Hogar SAC,Ana Fernández,904000009,contacto9@empresa.com,"Av. Principal 9, Lima"
10,TecnoParts,Juan Pérez,904000010,contacto10@empresa.com,"Av. Principal 10, Lima"
11,Juguetería MundoKids,José Castillo,904000011,contacto11@empresa.com,"Av. Principal 11, Lima"
12,Importaciones Globales,Lucía Vargas,904000012,contacto12@empresa.com,"Av. Principal 12, Lima"
13,Alimentos Selectos,Lucía Vargas,904000013,contacto13@empresa.com,"Av. Principal 13, Lima"
14,Deportes Perú,Lucía Vargas,904000014,contacto14@empresa.com,"Av. Principal 14, Lima"
15,TecnoParts,Juan Pérez,904000015,contacto15@empresa.com,"Av. Principal 15, Lima"
16,Deportes Perú,María Torres,904000016,contacto16@empresa.com,"Av. Principal 16, Lima"
17,TecnoParts,Luis Rojas,904000017,contacto17@empresa.com,"Av. Principal 17, Lima"
18,Alimentos Selectos,María Torres,904000018,contacto18@empresa.com,"Av. Principal 18, Lima"
19,Muebles Hogar SAC,Juan Pérez,904000019,contacto19@empresa.com,"Av. Principal 19, Lima"
20,Importaciones Globales,Ana Fernández,904000020,contacto20@empresa.com,"Av. Principal 20, Lima"
21,Distribuidora Andina,Juan Pérez,904000021,contacto21@empresa.com,"Av. Principal 21, Lima"
22,Alimentos Selectos,Ana Fernández,904000022,contacto22@empresa.com,"Av. Principal 22, Lima"
23,Deportes Perú,Lucía Vargas,904000023,contacto23@empresa.com,"Av. Principal 23, Lima"
24,Moda Latina,Luis Rojas,904000024,contacto24@empresa.com,"Av. Principal 24, Lima"
25,Comercial San Juan,María Torres,904000025,contacto25@empresa.com,"Av. Principal 25, Lima"
26,Alimentos Selectos,Lucía Vargas,904000026,contacto26@empresa.com,"Av. Principal 26, Lima"
27,Importaciones Globales,María Torres,904000027,contacto27@empresa.com,"Av. Principal 27, Lima"
28,TecnoParts,Lucía Vargas,904000028,contacto28@empresa.com,"Av. Principal 28, Lima"
29,Muebles Hogar SAC,José Castillo,904000029,contacto29@empresa.com,"Av. Principal 29, Lima"
30,TecnoParts,José Castillo,904000030,contacto30@empresa.com,"Av. Principal 30, Lima"
31,Comercial San Juan,Juan Pérez,904000031,contacto31@empresa.com,"Av. Principal 31, Lima"
32,Importaciones Globales,Juan Pérez,904000032,contacto32@empresa.com,"Av. Principal 32, Lima"
33,Alimentos Selectos,José Castillo,904000033,contacto33@empresa.com,"Av. Principal 33, Lima"
34,Juguetería MundoKids,Luis Rojas,904000034,contacto34@empresa.com,"Av. Principal 34, Lima"
35,TecnoParts,Luis Rojas,904000035,contacto35@empresa.com,"Av. Principal 35, Lima"
36,Alimentos Selectos,José Castillo,904000036,contacto36@empresa.com,"Av. Principal 36, Lima"
37,Importaciones Globales,Ana Fernández,904000037,contacto37@empresa.com,"Av. Principal 37, Lima"
38,Comercial San Juan,María Torres,904000038,contacto38@empresa.com,"Av. Principal 38, Lima"
39,TecnoParts,Lucía Vargas,904000039,contacto39@empresa.com,"Av. Principal 39, Lima"
40,Muebles Hogar SAC,Juan Pérez,904000040,contacto40@empresa.com,"Av. Principal 40, Lima"
41,Alimentos Selectos,Luis Rojas,904000041,contacto41@empresa.com,"Av. Principal 41, Lima"
42,Importaciones Globales,Luis Rojas,904000042,contacto42@empresa.com,"Av. Principal 42, Lima"
43,Moda Latina,Lucía Vargas,904000043,contacto43@empresa.com,"Av. Principal 43, Lima"
44,Calzados Lima,Luis Rojas,904000044,contacto44@empresa.com,"Av. Principal 44, Lima"
45,TecnoParts,Ana Fernández,904000045,contacto45@empresa.com,"Av. Principal 45, Lima"
46,Distribuidora Andina,Lucía Vargas,904000046,contacto46@empresa.com,"Av. Principal 46, Lima"
47,Calzados Lima,María Torres,904000047,contacto47@empresa.com,"Av. Principal 47, Lima"
48,Moda Latina,Juan Pérez,904000048,contacto48@empresa.com,"Av. Principal 48, Lima"
49,Moda Latina,Lucía Vargas,904000049,contacto49@empresa.com,"Av. Principal 49, Lima"
50,Alimentos Selectos,Lucía Vargas,904000050,contacto50@empresa.com,"Av. Principal 50, Lima"
