id_tienda,nombre,direccion,ciudad,telefono,id_empleado
1,Tienda Lima Centro,Av. Abancay 123,Lima,01-6001111,
2,Tienda Arequipa Plaza,Calle Mercaderes 456,Arequipa,054-600222,
3,Tienda Cusco Colonial,Av. El Sol 789,Cusco,084-600333,
4,Tienda Trujillo Norte,Av. España 321,Trujillo,044-600444,
5,Tienda Chiclayo Sur,Av. Balta 654,Chiclayo,074-600555,
6,Tienda Piura Centro,Av. Grau 987,Piura,073-600666,
7,Tienda Iquitos Amazonas,Calle Próspero 159,Iquitos,065-600777,
8,Tienda Huancayo Andes,Jr. Junín 753,Huancayo,064-600888,
9,Tienda Tacna Sur,Av. Bolognesi 852,Tacna,052-600999,
10,Tienda Juliaca Altiplano,Jr. San Román 147,Juliaca,051-601000,
11,Tienda Pucallpa Ucayali,Av. Centenario 369,Pucallpa,061-601111,
12,Tienda Tarapoto Selva,Jr. Lamas 258,Tarapoto,042-601222,
13,Tienda Huaraz Sierra,Jr. Luzuriaga 741,Huaraz,043-601333,
14,Tienda Ayacucho Libertad,Jr. 28 de Julio 963,Ayacucho,066-601444,
15,Tienda Cajamarca Colonial,Jr. Cruz de Piedra 357,Cajamarca,076-601555,
